ID,question,answer,relavant_document
40,"Who is congratulated by Trump in toxic messages posted on 2024-08-05 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Putin,"I’m not a fucking trump supporter, I’m saying that those “poor people released from a tyrannical government😭” are fucking russians, there are no good russians, they already ask for the lifting of sanctions. Bc poor average russians that’s not their fault ew🥺🥺🥺 this is their fucking fault, even political prisoners are spreading misinformation that’s useful for putin. Biden better exchanged AZOV WARRIORS NOT FUCKING RUSSIANS. Y’all just see what fucking trump said, congratulated putin, what a problem, you better think about that shit deal and what you could’ve done. You’re just acting like a bunch of trump haters, this is fucking hilarious, you are cheering UKRAINE GOT F-16 WOW but we’ve been fucking waiting for them for TOO LONG and we can’t even use them on russia. Celebrate that fucking shit deal"
41,"What is the power capacity of the Kusrk NPP mentioned in toxic messages posted on 2024-08-07 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",3GW,"Yeah, take Kusrk NPP and shut it down. 3GW of power shut down in one moment can break russian grid or at least cause massive instability. And then turn towards Belgorod to fuck up idiots in Vovchansk…"
42,"What is Russia doing with its Soviet vehicle fields in toxic messages posted on 2024-08-09 talking about Ukraine on the ""NOELREPORTS 🇪🇺 🇺🇦 COMMENTS"" group chat?",Emptying them,Russia is emptying its vast soviet vehicle fields. It must go somewhere. Ukraine chose a location of its own this time. Let them come. Sudzha scrap center
43,"Who is accused of letting Ukraine down in toxic messages posted on 2024-08-11 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Trump,All the help Ukraine has received was from the democrats. Trump has let Ukraine down over and over and will do so again. Your pooptin loving orange turd rapist felon Trump is going to lose bad in 2024. Trump is fucked. Pooptin is fucked. The russtards are fucked.
44,"What is Gaza facing, besides Israel in toxic messages posted on 2024-06-17 talking about Israel on the ""Gazanowen"" group chat?",European countries and America,"Do you think we are as stupid as you? Gaza is not only facing Israel, but it is facing European countries and America with all its forces. Gaza is a great country bigger than water. Imagine if Gaza was only facing the army of diapers, you would no longer exist among us, you pig."
45,"What is the sentiment towards apartheid in Israel in toxic messages posted on 2024-06-18 talking about Israel on the ""Middle East Brawls"" group chat?",Happy,I'm happy we implement apartheid in Israel.
46,"What are Israelis described as doing when they hear an alarm in toxic messages posted on 2024-06-19 talking about Israel on the ""Middle East Brawls"" group chat?",Shitting their pants,Israelis re shitting their pants when they hear an alarm
47,"What is Israel not allowed to launch in toxic messages posted on 2024-06-20 talking about Israel on the ""Middle East Brawls"" group chat?",nukes,Israel is not allowed to launch nukes you idiot
48,"What is Israel referred to as in relation to animals in toxic messages posted on 2024-06-21 talking about Israel on the ""ILTV Israel News 24/7 Chat"" group chat?",Brother of monkeys and pigs,Israel is the brother of monkeys and pigs
49,"What is the accusation against Egypt and Jordan's governments in toxic messages posted on 2024-06-21 talking about Israel on the ""Middle East Brawls"" group chat?",Clowns and on team Israel,"Lebanon, Syria, Iran and Iraq are helping through their resistance fighters. Egypt and Jordan governments are clowns and on team Israel don’t be an idiot"
50,"What is the tax rate on cars in Israel in toxic messages posted on 2024-06-22 talking about Israel on the ""Middle East Brawls"" group chat?",100%,Israel is 100%tax on cars now cry dumb ass
51,"What is the IDF accused of being on the planet in toxic messages posted on 2024-06-25 talking about Israel on the ""Gazanowen"" group chat?",Most prostitute army,Proof of the most prostitute army on the face of the planet IDF pigs
52,"What is Kamala Harris's heritage in toxic messages posted on 2024-07-22 talking about Kamala Harris on the ""Midnight Rider Chat 🇺🇸"" group chat?",Jamaican and Indian,She’s Jamaican and Indian that is not African American! Woke up people you are still believing the bullshit!
53,"Who is described as being worse than Biden regarding Palestine in toxic messages posted on 2024-06-28 talking about Israel on the ""Gazanowen"" group chat?",Trump,I believe trump even worse than Biden regarding Palestine. Their debate proves it. Trump is right up Israel’s ass. He’s. A rat. That’s my opinion
54,"Who is mentioned as having left Gaza in 2005 in toxic messages posted on 2024-06-30 talking about Israel on the ""ILTV Israel News 24/7 Chat"" group chat?",Israel,"He will die
Because of shitty medicine 
Since Israel left Gaza in 2005 😇"
55,"Who is accused of dragging out a useless war in toxic messages posted on 2024-06-30 talking about Israel on the ""Middle East Brawls"" group chat?",Netanyahu,How fucking dumb are you? Nobody is winning here Israel is just dragging out a useless war because Netanyahu doesn’t want to go to prison
56,"What is Israel described as in comparison to Pakistan in toxic messages posted on 2024-07-01 talking about Israel on the ""Middle East Brawls"" group chat?",Beautiful,Israel is beautiful Pakistan is a shithole
57,"Who is mentioned as crying like a bitch in toxic messages posted on 2024-07-02 talking about Israel on the ""Middle East Brawls"" group chat?",Sadat,"u live in Egypt, dear. u waged multiple wars against Israel, lost all of them and even then Israel gave it back because Sadat was crying like a bitch."
58,"What is the IDF accused of doing to Israelis in toxic messages posted on 2024-07-03 talking about Israel on the ""Middle East Brawls"" group chat?",Killing,zionist idf baby killers that also kill israelis
59,"Who is mentioned as having a bad track record with answers under pressure in toxic messages posted on 2024-07-22 talking about Kamala Harris on the ""Pilot Blog Chat"" group chat?",Harris,"I did not trolled you, is not my fault that you supposed that i was talking about Biden. Biden is out. Yes Trump is not the best debater but he is fantastic at attacking people and putting pressure. Unfortunately for Haris she has a very bad track record with answers under pressure. And she has a lot of angles open for attack you can bet your life that Trump will hit all of them. And there is the other guy, Trump, he is not an unknown, everything about him, was already told, people.know him. It will be very hard for her to find a new angle of attack on Trump to make a difference."
60,"What is Hebrew referred to as in toxic messages posted on 2024-07-05 talking about Israel on the ""Middle East Brawls"" group chat?",Language of rats,Youre right Hebrew is the language of rats
61,"What is the IDF criticized for not using in toxic messages posted on 2024-07-08 talking about Israel on the ""Middle East Brawls"" group chat?",Jet,Why IDF So Stupid.. U Have Jet.. Attack By JET lol.. 🤪🤪🤣🤣🔥🔥💥💥
62,"What percentage of Americans support Israel in toxic messages posted on 2024-07-10 talking about Israel on the ""Middle East Brawls"" group chat?",70%,Israel is supported by 70% of Americans Cope bitch
63,"What percentage did Harris poll at in the primary in toxic messages posted on 2024-07-23 talking about Kamala Harris on the ""Midnight Rider Chat 🇺🇸"" group chat?",1%,"But in the primary she polled the lowest at 1% and was the first to drop out. Now you want me to believe she polls at 47%. Joe was polling at 37%, and she was lower than Joe...come on man"
64,"What is Israel accused of harboring in toxic messages posted on 2024-07-13 talking about Israel on the ""Gazanowen"" group chat?",Jewish American child rapists,But Pissrael harbors Jewish American child rapists
65,"What is Israel referred to as in the Middle East in toxic messages posted on 2024-07-14 talking about Israel on the ""Middle East Brawls"" group chat?",Paradise,"Israel is the only Paradise in the middle east. Jordan is a shithole, too."
66,"What's the author doing while thinking to Israel Western Wall in toxic messages posted on 2024-07-17 talking about Israel on the ""Middle East Brawls"" group chat?",Taking a shit,Hold up I’m taking a shit and thinking about Israel western wall
67,"What is the Iron Dome said to protect Muslims from in toxic messages posted on 2024-07-20 talking about Israel on the ""Middle East Brawls"" group chat?",Their own stupidity,"Iron dome, protecting Muslims from their own stupidity since 2005"
68,"What is Israel accused of being founded on in toxic messages posted on 2024-07-21 talking about Israel on the ""Gazanowen"" group chat?",Terror ground,Moral values? Isreal? Dude are you idiots or just plain ignorant. Isreal was founded on terror ground. And now we see what terror stete is capable of.
69,"What caused the Iron Dome to mistakenly activate in toxic messages posted on 2024-07-22 talking about Israel on the ""Gazanowen"" group chat?",A flock of birds,"“— 🇮🇱 NEW: Israeli newspaper Yedioth Ahronoth confirms that the Iron Dome was mistakingly activated due to a flock of birds, most likely pelicans” 🤣🤣🤣🤣 your pussy ass diaper brigade are even scared of birds lmaooo"
70,"What did someone receive from the IDF in toxic messages posted on 2024-07-23 talking about Israel on the ""Middle East Brawls"" group chat?",IDF patches,"Everything ok brother, they are dumb fucks haha, i love to troll them. Today i finally got my Israel flag at home bro!👍🇮🇱😎 and i got some IDF patches from IDF, everythin just arrived today"
71,"Which city is mentioned as being bombed with Russian missiles in toxic messages posted on 2024-07-26 talking about Israel on the ""Middle East Brawls"" group chat?",Tel Aviv,MORE TO COME C'MON HEZBOLLAH fuk them up While houthis bomb tel aviv with russian missiles
72,"What is Israel referred to as in terms of LGBTQ+ culture in toxic messages posted on 2024-07-27 talking about Israel on the ""Middle East Brawls"" group chat?",The gay capital of the world,Israel the gay capital of the world. They even color their flag with the rainbow colors of gay pride. 😭
73,"What position was Kamala Harris appointed to by Biden in toxic messages posted on 2024-07-25 talking about Kamala Harris on the ""Midnight Rider Chat 🇺🇸"" group chat?",Border czar,"I don't believe she is polling that high!!! Apparently people are forgetting she was appointed ""border czar"" by biden and she never did a thing to stop illegals except to tell them to stop coming..ha ha(sarcasm)!!! She's said she's going to raise taxes 90% and you expect us to believe she's polling that good..are you ignorant or stupid!!! Another thing too, she's not black she's Indian and she can't be president bc her parents weren't citizens and show that disqualifies!!!"
74,"What is the location of the staged strike mentioned in toxic messages posted on 2024-07-28 talking about Israel on the ""Ukraine Watch Chat"" group chat?",Gollan,"That strike in Gollan was a false flag, totally staged, israel's warmongers wanted an excuse to attack lebanon. Hezbollah can never strike syrians who live on the Gollan heights."
75,"What year is mentioned as the birth year of someone claiming to be born in Israel in toxic messages posted on 2024-07-29 talking about Israel on the ""Middle East Brawls"" group chat?",1909,"See already, we know this is some bullshit. He said he was born in Israel in 1909 when Israel never existed then.🤡🤡"
76,"Which country is described as having advanced technology and weaponry in toxic messages posted on 2024-07-31 talking about Israel on the ""Gazanowen"" group chat?",Israel,😂😂😂 what the hell can Pakistan do? And don’t forget the US and Israel has nuclear weapons as well and it looks like Israel has the most advanced technology in the world and the most advanced weaponry in the world. Isabel is surrounded by enemies and is yet to be invaded or destroyed. You dumbasses will just have to live with it.
77,"What is the suggested action for someone who is pro-Israeli in toxic messages posted on 2024-07-31 talking about Israel on the ""Pilot Blog Chat"" group chat?",Join the Israeli army,Look motherfucker if you are that pro Israeli why do not you join the Israeli army?
78,"What did the West offer Iran to stop funding resistance groups in toxic messages posted on 2024-07-31 talking about Israel on the ""WarMonitors Chat: Season 2"" group chat?",The world,"The West offered Iran the world to stop funding these resistance groups and begged them not to retaliate against Israel after they killed their diplomats in Syria, they said no. Nobody is dumb enough to believe your bullshit"
79,"What is flying all over the world in toxic messages posted on 2024-08-01 talking about Israel on the ""Gazanowen"" group chat?",Palestinian flags,OOO..By the way... Palestinian flags are flying all over the world.
80,"How long did someone claim to have lived in Israel in toxic messages posted on 2024-08-01 talking about Israel on the ""ILTV Israel News 24/7 Chat"" group chat?",25 years,"I lived in Israel 25 years 😂 And u don't know shit about, besides propaganda for dumbs"
81,"What did someone trade their American citizenship for in toxic messages posted on 2024-08-03 talking about Israel on the ""Middle East Brawls"" group chat?",Israeli citizenship,She’s not even an American anymore she traded in her citizenship for an Israeli one. Look at her fucking profile pic
82,"Who is said to have zero primary votes in toxic messages posted on 2024-07-27 talking about Kamala Harris on the ""Midnight Rider Chat 🇺🇸"" group chat?",Kamala,Never underestimate the mindless sheep. They are so stupid they will vote against their own best interest. They are so badly brainwashed into thinking they are saving democracy. They are so stupid that their own party is a threat to democracy. Kamala has zero primary votes.
83,"What is not Iran in terms of military in toxic messages posted on 2024-08-04 talking about Israel on the ""ILTV Israel News 24/7 Chat"" group chat?",Military power,"Are you idiots Israel is a military power, or do you think it is Iran 🤣🤣"
84,"What is Israel's second name in toxic messages posted on 2024-08-04 talking about Israel on the ""Middle East Brawls"" group chat?",Jacob,israel - second name of jacob astaghfirullah u are all gays
85,"Who is not allowed to use Jordan's airspace in toxic messages posted on 2024-08-05 talking about Israel on the ""DDG Chat"" group chat?",Iran and Israel,"Everyone can use Jordan’s airspace 🇬🇧 🇺🇸 🇫🇷, except Iran and Israel 😂"
86,"Who is described as cowardly and shameless in toxic messages posted on 2024-08-05 talking about Israel on the ""Gazanowen"" group chat?",Israel,Monster is actually Israel. Israel is cowardly and shameless
87,"What is the opinion about American presidents in toxic messages posted on 2024-08-08 talking about Israel on the ""WarMonitors Chat: Season 2"" group chat?",Puppets of Israel,All American presidents are the puppets of Israel. Been telling that people but they see a cool instagram reel clip and think trump is the coolest🤣 Fat dog
88,"What is Saudi Arabia on their way to do in toxic messages posted on 2024-08-09 talking about Israel on the ""WarMonitors Chat: Season 2"" group chat?",Recognize Israel,"Saudi Arabia ,the same ones asking right now for US support agains Iran and on their way to recognize Israel ? How much is a usd in roubles ? 😁Plus the international transactions this year in the usd increased"
89,"How many IOF elite forces are mentioned in toxic messages posted on 2024-08-10 talking about Israel on the ""WarMonitors Chat: Season 2"" group chat?",70,70 IOF elite forces in addition to American mercenaries yes
90,"What is the divine name mentioned instead of Palestine in toxic messages posted on 2024-08-11 talking about Israel on the ""Gazanowen"" group chat?",As-Sham,"Oh bullshit. There was no land of israel whatsoever. There were no jews back then either in the time of Moses pbuh. Those were Children of Israel and they followed their Prophet Moses pbuh Palestine was a man made name. God and Prophet Muhammad pbuh didnt use a man made name such as Palestine but a divine name called As-Sham. The Term ""jew"" was coined by the astrayed people followers of Judah -Judaism. After 200 years Isa ibn Maryam was ascended. They have deviated from God's path. Now do you see how evil your people are today?"
91,"What is claimed about the Palestinians' historical connection to Nazism in toxic messages posted on 2024-06-15 talking about Palestine on the ""Middle East Brawls"" group chat?",Actual Nazis,"Meanwhile in the real world, Palestinians are the actual Nazis"
92,"What is not allowed in Islam in toxic messages posted on 2024-06-22 talking about Palestine on the ""Middle East Brawls"" group chat?",Creating photographs or paintings of the prophets,It's not even allowed to create photographs or paintings of the prophets in Islam. Only the western countries create this bullshit
93,"Who is described as helping by dropping food aid into Gaza in toxic messages posted on 2024-06-25 talking about Palestine on the ""Gazanowen"" group chat?",The Chinese,"Focus on the Palestinians. The Chinese helped by dropping food aid into Gaza. If they could parked their Ships and send aid they would. They are unlike the bitches of USA pretending to supply aid and ended up killing the Gazans in Nuseirat ""rescueing their hostages"" Broke ass bitches and apes"
94,"What was the status of Gaza according to the message in toxic messages posted on 2024-06-25 talking about Palestine on the ""Middle East Brawls"" group chat?",Under blockade for years,You idiot 🙄 It's resistence muppet Gaza has been under blockade for years Now the entire world supports palestine 🇵🇸
95,"Who are the world's most cursed people in toxic messages posted on 2024-06-26 talking about Palestine on the ""Middle East Brawls"" group chat?",Palestinians,Palestinians are the world's most cursed people
96,"What is the claim about Islamic countries in toxic messages posted on 2024-06-30 talking about Palestine on the ""Middle East Brawls"" group chat?",They are based on religion,"You are used to your shitty Islamic countries which are based on religion

And you believe Israel is the same shit"
97,"Who bombed Palestinian refugee camps in Syria in toxic messages posted on 2024-07-07 talking about Palestine on the ""Middle East Brawls"" group chat?",Assad,Assad unironically bombed every single palestinian refugee camp to shit lmao bro turned them all into border line ghost towns even Pripyat looks better these days 💀💀💀
98,"What event is referred to as a 'mini civil war' in toxic messages posted on 2024-07-08 talking about Palestine on the ""Middle East Brawls"" group chat?",Intifada,Oh wow Israelis being armed during the fucking intifada (mini civil war) how evil of them 😂
99,"What is the name given to the place by Allah in toxic messages posted on 2024-07-13 talking about Palestine on the ""Gazanowen"" group chat?",Palestine,"Since the creation of the world, this place has been called Palestine. This is the name given to this place by Allah, the Creator of all the worlds"
100,"How many civilians were admitted to be killed according to the government in toxic messages posted on 2024-07-14 talking about Palestine on the ""Gazanowen"" group chat?",900,"Your own damned government admitted it was 1200, and that about 300 were service men. That leaves about 900 civilians. Some of those were armed settlers. A number of the remaining civilians were killed in crossfire and confusion. The others were straight up killed by your IDF."
101,"What is controlled by 'goarfuckers' in toxic messages posted on 2024-07-16 talking about Palestine on the ""Middle East Brawls"" group chat?",Mecca,whole mecca is controlled by goarfuckers stupidity is at its peak there
102,"Who is said to have beaten 'muzzle ass' for 76 years in toxic messages posted on 2024-07-24 talking about Palestine on the ""Middle East Brawls"" group chat?",Israel,Such cowards lol. That's why Israel has beaten muzzie ass for 76 yrs and counting.
103,"What domain does Hamas reportedly not use in toxic messages posted on 2024-07-25 talking about Palestine on the ""Middle East Brawls"" group chat?",.com,"even hamas.com is from ur isnotreali shitty goverment😹😹😹 hamas dont use url address .com, they use .ps"
104,"Who are the alleged ancestors of the Palestinians in toxic messages posted on 2024-07-27 talking about Palestine on the ""Middle East Brawls"" group chat?",Ancient Canaanites,You silly twat Palestinians are the ancient canaanites FACTS Dna tests revealed that they carry the ancient canaanites genome in their dna So do lebenese people
105,"What is flying all over the world in toxic messages posted on 2024-08-01 talking about Palestine on the ""Gazanowen"" group chat?",Palestinian flags,OOO..By the way... Palestinian flags are flying all over the world. All over the world more people cursing the war mongers and criminals..thats ISRA HELL.
